text,label
Teacher ne topic properly explain nahi kiya?!,negative
Lecture confusing tha! 😡,negative
Aaj ka lecture bhot informative tha! 😡,positive
Teacher ne concept bahot clearly samjhaya?? 🙂,positive
Mujhe lecture bilkul samajh nahi aaya!!,negative
Mujhe lecture bilkul samajh nahi aaya,negative
Class theek thi bas thoda lamba tha according to me,neutral
Sir ka teaching style good hai!! 😕,positive
Lecture normal tha kuch special nahi...,neutral
Topic bahut poorly explain hua overall,negative
Class theek thi bas thoda lamba tha but thoda aur practice chahiye,neutral
Class me interest nahi aaya but slides achi thi,negative
Topic bahut ache se cover kiya gaya according to me,positive
Lecture theek tha but aur examples ho sakte the??,neutral
Lecture interesting tha aur samajh bhi aaya but examples ache the,positive
Examples clear nahi the,negative
Teacher ka explanation weak tha but thoda slow hona chahiye tha,negative
Lecture interesting tha aur samajh bhi aaya but thoda slow hona chahiye tha,positive
Lecture theek tha but aur examples ho sakte the...,neutral
Lecture normal tha kuch special nahi honestly,neutral
Kal ki class achaah thi?? 😕,positive
Class borinng thi??,negative
Class average thi!!,neutral
Topic bahut ache se cover kiya gaya but thoda slow hona chahiye tha,positive
Concept samajh aaya par pace fast tha... 🙂,neutral
Class average thi...,neutral
Class me interest nahi aaya but examples ache the,negative
Class ka pace bahut fast tha honestly,negative
Class ka environment acha tha!!,positive
Topic bahut ache se cover kiya gaya but slides achi thi,positive
Content theek tha par delivery slow thi but thoda aur practice chahiye,neutral
Sir ka teaching style bahut accha hai but thoda aur practice chahiye,positive
Class ka pace bahut fast tha,negative
Class engaging thi aur boring nahi thi honestly,positive
Lecture normal tha kuch special nahi,neutral
Mujhe lecture bilkul samajh nahi aaya! 🙂,negative
Class average thi... 🙂,neutral
Class ka environment accha tha??,positive
Class average thi but examples ache the,neutral
Concept samajh aaya par pace fast tha overall,neutral
Lecture confusing tha...,negative
Class ka environment achha tha,positive
Lecture theek tha but aur examples ho sakte the!!,neutral
Lecture confusing tha...,negative
Lecture confusing tha??,negative
Class ka environment acha tha?!,positive
Concept samajh aaya par pace fast tha,neutral
Topic theek tha but aur clarity chahiye thi overall,neutral
Class boring thi?!,negative
Topic bahut ache se cover kiya gaya but thoda slow hona chahiye tha,positive
Lecture normal tha kuch special nahi.,neutral
Lecture theek tha but aur examples ho sakte the but thoda slow hona chahiye tha,neutral
Topic bahut ache se cover kiya gaya but thoda aur practice chahiye,positive
Concept samajh aaya par pace fast tha but slides achi thi,neutral
Concept samajh aaya par pace fast tha!,neutral
Class ka environment achha tha!,positive
Topic bahut poorly explain hua but thoda slow hona chahiye tha,negative
Teacher ne concept bohut clearly samjhaya!,positive
Class ka environment bahut achha tha overall,positive
Class average thi honestly,neutral
Class ka environment achha tha!!,positive
Class ka pace bohot fast tha??,negative
Class ka pace bahut fast tha honestly,negative
Topic bahut poorly explain hua aur thoda detail me hona chahiye tha,negative
Teacher ne topic properly explain nahi kiya...,negative
Class average thi?? 😐,neutral
Content theek tha par delivery slow thi according to me,neutral
Class ka pace bahut fast tha overall,negative
Lecture theek tha but aur examples ho sakte the?!,neutral
Lecture confusing tha but slides achi thi,negative
Kal ki class bohot achi thi according to me,positive
Lecture time waste jaisa laga but examples ache the,negative
Topic bahut ache se cover kiya gaya aur thoda detail me hona chahiye tha,positive
Lecture normal tha kuch special nahi... 🙂,neutral
Class acchaa thi par thodi borinng bhi.,neutral
Teacher ne topic properly explain nahi kiya honestly,negative
Class ka pace bahut fast tha aur thoda detail me hona chahiye tha,negative
Concept samajh aaya par pace fast tha 😡,neutral
Teacher ka explanation weak tha honestly,negative
Teacher ka explanation weak tha but thoda aur practice chahiye,negative
Class ka pace bahut fast tha overall,negative
Kal ki class acha thi...,positive
Topic bahut ache se cover kiya gaya overall,positive
Aaj ka lecture bahuut informative tha!,positive
Lecture time waste jaisa laga but slides achi thi,negative
Class ka pace bahut fast tha honestly,negative
Session okay tha honestly,neutral
Sir ka teaching style gud hai?! 😐,positive
Teacher ne topic properly explain nahi kiya but thoda aur practice chahiye,negative
Lecture interesting tha aur samajh bhi aaya...,positive
Discussion session kaafi useful tha but slides achi thi,positive
Mujhe lecture bilkul samajh nahi aaya,negative
Class theek thi bas thoda lamba tha but slides achi thi,neutral
Class ka environment bahut achha tha according to me,positive
Topic bahut ache se cover kiya gaya but examples ache the,positive
Teacher ne concept bahuut clearly samjhaya!!,positive
Teacher ne topic properly explain nahi kiya 🙂,negative
Lecture normal tha kuch special nahi!,neutral
Teacher ka explanation weak tha but thoda slow hona chahiye tha,negative
Class average thi but examples ache the,neutral
Lecture theek tha but aur examples ho sakte the...,neutral
Topic theek tha but aur clarity chahiye thi according to me,neutral
Session okay tha but thoda aur practice chahiye,neutral
Concept samajh aaya par pace fast tha.,neutral
Aaj ka lecture bahut informative tha overall,positive
Class achaah thi par thodi borring bhi...,neutral
Class engaging thi aur boring nahi thi overall,positive
Lecture normal tha kuch special nahi...,neutral
Sir ka teaching style bahut accha hai aur thoda detail me hona chahiye tha,positive
Aaj ka lecture bahut informative tha but thoda slow hona chahiye tha,positive
Kal ki class bohot achi thi but examples ache the,positive
Kal ki class achha thi,positive
Class me interest nahi aaya aur thoda detail me hona chahiye tha,negative
Discussion session kaafi useful tha aur thoda detail me hona chahiye tha,positive
Topic theek tha but aur clarity chahiye thi but thoda slow hona chahiye tha,neutral
Teacher ne topic properly explain nahi kiya.,negative
Class accha thi par thodi borin bhi??,neutral
Class boring thi!! 😡,negative
Lecture confusing tha!,negative
Mujhe lecture bilkul samajh nahi aaya!,negative
Concept samajh aaya par pace fast tha but examples ache the,neutral
Topic bahut ache se cover kiya gaya aur thoda detail me hona chahiye tha,positive
Teacher ne topic properly explain nahi kiya!!,negative
Class borinng thi...,negative
Class average thi...,neutral
Kal ki class accha thi!!,positive
Teacher ne topic properly explain nahi kiya!!,negative
Examples clear nahi the but thoda aur practice chahiye,negative
Class borinng thi! 😕,negative
Class borring thi!! 😕,negative
Kal ki class acchaa thi!,positive
Lecture manageable tha according to me,neutral
Class average thi but slides achi thi,neutral
Class boring thi!!,negative
Content theek tha par delivery slow thi according to me,neutral
Teacher ne concept bhot clearly samjhaya,positive
Concept samajh aaya par pace fast tha.,neutral
Class achaah thi par thodi borring bhi,neutral
Class ka environment achha tha,positive
Class ka pace bahuut fast tha...,negative
Class ka pace bohut fast tha?!,negative
Class ka environment achaa tha...,positive
Class me interest nahi aaya but slides achi thi,negative
Lecture interesting tha aur samajh bhi aaya. 😕,positive
Lecture normal tha kuch special nahi!!,neutral
Topic bahut poorly explain hua according to me,negative
Class theek thi bas thoda lamba tha but thoda aur practice chahiye,neutral
Topic bahut ache se cover kiya gaya but thoda slow hona chahiye tha,positive
Class ka environment accha tha.,positive
Notes aur explanation dono helpful the,positive
Topic theek tha but aur clarity chahiye thi,neutral
Class borinng thi?? 😐,negative
Sir ka teaching style good hai!!,positive
Class ka pace bahut fast tha,negative
Lecture interesting tha aur samajh bhi aaya overall,positive
Class achi thi par thodi boring bhi according to me,neutral
Lecture confusing tha 🙂,negative
Aaj ka lecture bahut informative tha but examples ache the,positive
Class engaging thi aur boring nahi thi aur thoda detail me hona chahiye tha,positive
Class acha thi par thodi borring bhi...,neutral
Examples clear nahi the according to me,negative
Kal ki class bohot achi thi but thoda slow hona chahiye tha,positive
Kal ki class bohot achi thi overall,positive
Teacher ne concept bahut clearly samjhaya according to me,positive
Teacher ne topic properly explain nahi kiya!,negative
Class borinng thi??,negative
Lecture confusing tha overall,negative
Lecture confusing tha! 😡,negative
Lecture theek tha but aur examples ho sakte the but slides achi thi,neutral
Sir ka teaching style good hai!!,positive
Lecture theek tha but aur examples ho sakte the but thoda slow hona chahiye tha,neutral
Teacher ne topic properly explain nahi kiya!,negative
Lecture time waste jaisa laga,negative
Sir ka teaching style bahut accha hai according to me,positive
Concept samajh aaya par pace fast tha! 🙂,neutral
Topic theek tha but aur clarity chahiye thi but thoda aur practice chahiye,neutral
Lecture interesting tha aur samajh bhi aaya!!,positive
Teacher ne topic properly explain nahi kiya aur thoda detail me hona chahiye tha,negative
Teacher ne topic properly explain nahi kiya overall,negative
Lecture confusing tha according to me,negative
Lecture normal tha kuch special nahi...,neutral
Class average thi!,neutral
Lecture manageable tha aur thoda detail me hona chahiye tha,neutral
Concept samajh aaya par pace fast tha aur thoda detail me hona chahiye tha,neutral
Mujhe lecture bilkul samajh nahi aaya.,negative
Lecture confusing tha?? 😡,negative
Class bohot boring thi overall,negative
Class ka environment achaah tha.,positive
Class average thi...,neutral
Mujhe lecture bilkul samajh nahi aaya aur thoda detail me hona chahiye tha,negative
Teacher ne topic properly explain nahi kiya??,negative
Lecture time waste jaisa laga but examples ache the,negative
Aaj ka lecture bahot informative tha?! 🙂,positive
Content theek tha par delivery slow thi but thoda aur practice chahiye,neutral
Content theek tha par delivery slow thi overall,neutral
Lecture manageable tha but thoda aur practice chahiye,neutral
Kal ki class achha thi!! 😡,positive
Class average thi!,neutral
Discussion session kaafi useful tha but thoda aur practice chahiye,positive
Content theek tha par delivery slow thi but slides achi thi,neutral
Class achha thi par thodi boring bhi!,neutral
Lecture confusing tha overall,negative
Kal ki class bohot achi thi honestly,positive
Topic bahut poorly explain hua but examples ache the,negative
Lecture theek tha but aur examples ho sakte the 😕,neutral
Aaj ka lecture bahut informative tha,positive
Class ka pace bohut fast tha...,negative
Class average thi honestly,neutral
Sir ka teaching style gud hai?!,positive
Lecture theek tha but aur examples ho sakte the.,neutral
Lecture normal tha kuch special nahi?!,neutral
Sir ka teaching style bahut accha hai according to me,positive
Class average thi but thoda slow hona chahiye tha,neutral
Notes aur explanation dono helpful the but examples ache the,positive
Lecture normal tha kuch special nahi overall,neutral
Sir ka teaching style bahut accha hai but thoda aur practice chahiye,positive
Class borin thi...,negative
Teacher ne topic properly explain nahi kiya.,negative
Class achha thi par thodi borin bhi... 😡,neutral
Mujhe lecture bilkul samajh nahi aaya??,negative
Aaj ka lecture bohot informative tha.,positive
Topic bahut poorly explain hua but thoda slow hona chahiye tha,negative
Lecture manageable tha honestly,neutral
Aaj ka lecture bhot informative tha?? 😕,positive
Teacher ne concept bahot clearly samjhaya,positive
Lecture interesting tha aur samajh bhi aaya but thoda aur practice chahiye,positive
Class borring thi!!,negative
Lecture confusing tha.,negative
Teacher ne concept bohot clearly samjhaya,positive
Examples clear nahi the according to me,negative
Concept samajh aaya par pace fast tha aur thoda detail me hona chahiye tha,neutral
Class ka pace bahut fast tha 🙂,negative
Session okay tha aur thoda detail me hona chahiye tha,neutral
Topic bahut poorly explain hua honestly,negative
Concept samajh aaya par pace fast tha?!,neutral
Lecture theek tha but aur examples ho sakte the...,neutral
Content theek tha par delivery slow thi aur thoda detail me hona chahiye tha,neutral
Lecture interesting tha aur samajh bhi aaya 🙂,positive
Lecture manageable tha but slides achi thi,neutral
Class average thi...,neutral
Lecture normal tha kuch special nahi but thoda aur practice chahiye,neutral
Lecture normal tha kuch special nahi.,neutral
Lecture theek tha but aur examples ho sakte the. 😡,neutral
Class ka pace bahut fast tha but thoda slow hona chahiye tha,negative
Concept samajh aaya par pace fast tha 😡,neutral
Lecture normal tha kuch special nahi overall,neutral
Teacher ne topic properly explain nahi kiya!,negative
Class average thi.,neutral
Class ka environment acchaa tha,positive
Concept samajh aaya par pace fast tha?!,neutral
Kal ki class achaa thi?!,positive
Teacher ne topic properly explain nahi kiya...,negative
Class ka pace bahut fast tha but thoda slow hona chahiye tha,negative
Class engaging thi aur boring nahi thi honestly,positive
Concept samajh aaya par pace fast tha!!,neutral
Lecture normal tha kuch special nahi...,neutral
Kal ki class bohot achi thi,positive
Lecture confusing tha,negative
Class ka environment acchaa tha,positive
Class theek thi bas thoda lamba tha but examples ache the,neutral
Examples clear nahi the,negative
Concept samajh aaya par pace fast tha honestly,neutral
Class borring thi!,negative
Class engaging thi aur boring nahi thi overall,positive
Lecture confusing tha aur thoda detail me hona chahiye tha,negative
Class borinng thi! 🙂,negative
Teacher ne topic properly explain nahi kiya but slides achi thi,negative
Teacher ne topic properly explain nahi kiya 😡,negative
Lecture theek tha but aur examples ho sakte the... 🙂,neutral
Sir ka teaching style good hai?! 🙂,positive
Lecture interesting tha aur samajh bhi aaya honestly,positive
Kal ki class achaa thi!!,positive
Lecture normal tha kuch special nahi but examples ache the,neutral
Mujhe lecture bilkul samajh nahi aaya?! 😐,negative
Class theek thi bas thoda lamba tha,neutral
Class borring thi... 😕,negative
Session okay tha but examples ache the,neutral
Notes aur explanation dono helpful the but thoda aur practice chahiye,positive
Class me interest nahi aaya aur thoda detail me hona chahiye tha,negative
Mujhe lecture bilkul samajh nahi aaya aur thoda detail me hona chahiye tha,negative
Lecture interesting tha aur samajh bhi aaya. 😐,positive
Class ka environment acha tha??,positive
Lecture confusing tha 😐,negative
Discussion session kaafi useful tha according to me,positive
Sir ka teaching style goood hai.,positive
Lecture time waste jaisa laga,negative
Sir ka teaching style gud hai 😕,positive
Teacher ne concept bhot clearly samjhaya??,positive
Lecture theek tha but aur examples ho sakte the.,neutral
Teacher ne concept bahut clearly samjhaya aur thoda detail me hona chahiye tha,positive
Concept samajh aaya par pace fast tha.,neutral
Class boring thi.,negative
Aaj ka lecture bohot informative tha?? 😕,positive
Class bohot boring thi overall,negative
Lecture interesting tha aur samajh bhi aaya!,positive
Mujhe lecture bilkul samajh nahi aaya.,negative
Class accha thi par thodi boring bhi...,neutral
Content theek tha par delivery slow thi overall,neutral
Topic bahut ache se cover kiya gaya honestly,positive
Class ka pace bahot fast tha?!,negative
Topic bahut poorly explain hua according to me,negative
Lecture normal tha kuch special nahi!,neutral
Class theek thi bas thoda lamba tha honestly,neutral
Lecture manageable tha according to me,neutral
Teacher ka explanation weak tha overall,negative
Class ka environment achha tha!!,positive
Class average thi but slides achi thi,neutral
Class ka pace bahuut fast tha!!,negative
Kal ki class bohot achi thi honestly,positive
Lecture theek tha but aur examples ho sakte the!,neutral
Sir ka teaching style goood hai!!,positive
Lecture interesting tha aur samajh bhi aaya??,positive
Topic bahut poorly explain hua but examples ache the,negative
Mujhe lecture bilkul samajh nahi aaya,negative
Class ka pace bahut fast tha but thoda slow hona chahiye tha,negative
Notes aur explanation dono helpful the but examples ache the,positive
Class average thi??,neutral
Lecture interesting tha aur samajh bhi aaya??,positive
Class ka environment achaah tha,positive
Class ka environment achaa tha.,positive
Class achi thi par thodi boring bhi but thoda aur practice chahiye,neutral
Class ka environment accha tha?!,positive
Lecture theek tha but aur examples ho sakte the?! 🙂,neutral
Class achi thi par thodi boring bhi,neutral
Sir ka teaching style goood hai?? 😡,positive
Mujhe lecture bilkul samajh nahi aaya?!,negative
Class bohot boring thi but thoda slow hona chahiye tha,negative
Lecture theek tha but aur examples ho sakte the!!,neutral
Sir ka teaching style good hai!!,positive
Class average thi but thoda aur practice chahiye,neutral
Class achha thi par thodi borinng bhi,neutral
Topic bahut ache se cover kiya gaya aur thoda detail me hona chahiye tha,positive
Kal ki class bohot achi thi but examples ache the,positive
Content theek tha par delivery slow thi but examples ache the,neutral
Class me interest nahi aaya honestly,negative
Class ka pace bahut fast tha but thoda aur practice chahiye,negative
Lecture interesting tha aur samajh bhi aaya?! 😐,positive
Aaj ka lecture bahut informative tha but examples ache the,positive
Class engaging thi aur boring nahi thi but slides achi thi,positive
Lecture confusing tha but thoda aur practice chahiye,negative
Lecture confusing tha?!,negative
Lecture interesting tha aur samajh bhi aaya!,positive
Teacher ne topic properly explain nahi kiya?? 😡,negative
Lecture theek tha but aur examples ho sakte the??,neutral
Teacher ne concept bahut clearly samjhaya aur thoda detail me hona chahiye tha,positive
Lecture confusing tha...,negative
Class ka pace bahot fast tha??,negative
Session okay tha overall,neutral
Class ka pace bahut fast tha but slides achi thi,negative
Class ka pace bahut fast tha according to me,negative
Topic bahut poorly explain hua but examples ache the,negative
Aaj ka lecture bhot informative tha??,positive
