processed_text,label,lda_text,tokens,dominant_topic
concept_EN samajh_HI aaya_HI par_EN pace_EN fast_EN tha_EN,neutral,concept samajh aaya par pace fast tha,"['concept', 'samajh', 'aaya', 'par', 'pace', 'fast', 'tha']",4
class_EN average_EN thi_EN,neutral,class average thi,"['class', 'average', 'thi']",3
discussion_EN session_EN kaafi_HI useful_EN tha_EN aur_HI thoda_HI detail_EN me_HI hona_HI chahiye_HI tha_EN,positive,discussion session kaafi useful tha aur thoda detail me hona chahiye tha,"['discussion', 'session', 'kaafi', 'useful', 'tha', 'aur', 'thoda', 'hona', 'chahiye', 'tha']",3
kal_EN class_EN accha_POS thi_EN,positive,kal class accha thi,"['kal', 'class', 'accha', 'thi']",3
sir_EN teaching_EN style_EN gud_HI hai_EN,positive,sir teaching style gud hai,"['sir', 'teaching', 'style', 'gud', 'hai']",0
lecture_EN theek_HI tha_EN aur_HI examples_EN ho_HI sakte_HI,neutral,lecture theek tha aur examples ho sakte,"['lecture', 'theek', 'tha', 'aur', 'examples', 'sakte']",2
teacher_EN ne_HI topic_EN properly_EN explain_EN nahi_HI kiya_HI slides_EN achi_HI thi_EN,negative,teacher ne topic properly explain nahi kiya slides achi thi,"['teacher', 'topic', 'properly', 'explain', 'nahi', 'kiya', 'slides', 'achi', 'thi']",1
sir_EN teaching_EN style_EN bahut_HI accha_POS hai_EN honestly_EN,positive,sir teaching style bahut accha hai honestly,"['sir', 'teaching', 'style', 'bahut', 'accha', 'hai', 'honestly']",0
aaj_HI lecture_EN bahut_HI informative_EN tha_EN,positive,aaj lecture bahut informative tha,"['aaj', 'lecture', 'bahut', 'informative', 'tha']",2
class_EN average_EN thi_EN,neutral,class average thi,"['class', 'average', 'thi']",3
session_EN okay_EN tha_EN thoda_HI slow_EN hona_HI chahiye_HI tha_EN,neutral,session okay tha thoda slow hona chahiye tha,"['session', 'okay', 'tha', 'thoda', 'slow', 'hona', 'chahiye', 'tha']",1
notes_EN aur_HI explanation_EN dono_HI helpful_EN examples_EN ache_EN,positive,notes aur explanation dono helpful examples ache,"['notes', 'aur', 'explanation', 'dono', 'helpful', 'examples', 'ache']",1
class_EN bhot_HI boring_EN thi_EN according_EN me_HI,negative,class bhot boring thi according me,"['class', 'bhot', 'boring', 'thi', 'according']",3
kal_EN class_EN acha_POS thi_EN,positive,kal class acha thi,"['kal', 'class', 'acha', 'thi']",3
sir_EN teaching_EN style_EN gud_HI hai_EN,positive,sir teaching style gud hai,"['sir', 'teaching', 'style', 'gud', 'hai']",0
class_EN bhot_HI boring_EN thi_EN honestly_EN,negative,class bhot boring thi honestly,"['class', 'bhot', 'boring', 'thi', 'honestly']",3
sir_EN teaching_EN style_EN gud_HI hai_EN,positive,sir teaching style gud hai,"['sir', 'teaching', 'style', 'gud', 'hai']",0
teacher_EN ne_HI concept_EN bahut_HI clearly_EN samjhaya_HI thoda_HI slow_EN hona_HI chahiye_HI tha_EN,positive,teacher ne concept bahut clearly samjhaya thoda slow hona chahiye tha,"['teacher', 'concept', 'bahut', 'clearly', 'samjhaya', 'thoda', 'slow', 'hona', 'chahiye', 'tha']",1
teacher_EN ne_HI topic_EN properly_EN explain_EN nahi_HI kiya_HI aur_HI thoda_HI detail_EN me_HI hona_HI chahiye_HI tha_EN,negative,teacher ne topic properly explain nahi kiya aur thoda detail me hona chahiye tha,"['teacher', 'topic', 'properly', 'explain', 'nahi', 'kiya', 'aur', 'thoda', 'hona', 'chahiye', 'tha']",1
class_EN environment_EN bahut_HI achha_POS tha_EN,positive,class environment bahut achha tha,"['class', 'environment', 'bahut', 'achha', 'tha']",4
topic_EN bahut_HI ache_EN se_HI cover_EN kiya_HI gaya_HI thoda_HI slow_EN hona_HI chahiye_HI tha_EN,positive,topic bahut ache se cover kiya gaya thoda slow hona chahiye tha,"['topic', 'bahut', 'ache', 'cover', 'kiya', 'gaya', 'thoda', 'slow', 'hona', 'chahiye', 'tha']",1
sir_EN teaching_EN style_EN bahut_HI accha_POS hai_EN overall_EN,positive,sir teaching style bahut accha hai overall,"['sir', 'teaching', 'style', 'bahut', 'accha', 'hai', 'overall']",0
teacher_EN ne_HI concept_EN bahut_HI clearly_EN samjhaya_HI,positive,teacher ne concept bahut clearly samjhaya,"['teacher', 'concept', 'bahut', 'clearly', 'samjhaya']",0
lecture_EN theek_HI tha_EN aur_HI examples_EN ho_HI sakte_HI,neutral,lecture theek tha aur examples ho sakte,"['lecture', 'theek', 'tha', 'aur', 'examples', 'sakte']",2
lecture_EN confusing_EN tha_EN,negative,lecture confusing tha,"['lecture', 'confusing', 'tha']",2
lecture_EN theek_HI tha_EN aur_HI examples_EN ho_HI sakte_HI,neutral,lecture theek tha aur examples ho sakte,"['lecture', 'theek', 'tha', 'aur', 'examples', 'sakte']",2
teacher_EN ne_HI topic_EN properly_EN explain_EN nahi_HI kiya_HI examples_EN ache_EN,negative,teacher ne topic properly explain nahi kiya examples ache,"['teacher', 'topic', 'properly', 'explain', 'nahi', 'kiya', 'examples', 'ache']",1
class_EN environment_EN bahut_HI achha_POS tha_EN slides_EN achi_HI thi_EN,positive,class environment bahut achha tha slides achi thi,"['class', 'environment', 'bahut', 'achha', 'tha', 'slides', 'achi', 'thi']",3
lecture_EN normal_EN tha_EN special_EN nahi_HI thoda_HI aur_HI practice_EN chahiye_HI,neutral,lecture normal tha special nahi thoda aur practice chahiye,"['lecture', 'normal', 'tha', 'special', 'nahi', 'thoda', 'aur', 'practice', 'chahiye']",1
lecture_EN bilkul_HI samajh_HI nahi_HI aaya_HI thoda_HI aur_HI practice_EN chahiye_HI,negative,lecture bilkul samajh nahi aaya thoda aur practice chahiye,"['lecture', 'bilkul', 'samajh', 'nahi', 'aaya', 'thoda', 'aur', 'practice', 'chahiye']",1
class_EN acha_POS thi_EN par_EN thodi_HI boring_EN bhi_HI,neutral,class acha thi par thodi boring bhi,"['class', 'acha', 'thi', 'par', 'thodi', 'boring', 'bhi']",4
aaj_HI lecture_EN bahut_HI informative_EN tha_EN aur_HI thoda_HI detail_EN me_HI hona_HI chahiye_HI tha_EN,positive,aaj lecture bahut informative tha aur thoda detail me hona chahiye tha,"['aaj', 'lecture', 'bahut', 'informative', 'tha', 'aur', 'thoda', 'hona', 'chahiye', 'tha']",1
class_EN borin_HI thi_EN,negative,class borin thi,"['class', 'borin', 'thi']",3
lecture_EN interesting_EN tha_EN aur_HI samajh_HI bhi_HI aaya_HI,positive,lecture interesting tha aur samajh bhi aaya,"['lecture', 'interesting', 'tha', 'aur', 'samajh', 'bhi', 'aaya']",4
lecture_EN confusing_EN tha_EN slides_EN achi_HI thi_EN,negative,lecture confusing tha slides achi thi,"['lecture', 'confusing', 'tha', 'slides', 'achi', 'thi']",3
class_EN acha_POS thi_EN par_EN thodi_HI boring_EN bhi_HI,neutral,class acha thi par thodi boring bhi,"['class', 'acha', 'thi', 'par', 'thodi', 'boring', 'bhi']",4
class_EN environment_EN achha_POS tha_EN,positive,class environment achha tha,"['class', 'environment', 'achha', 'tha']",4
lecture_EN time_EN waste_EN jaisa_HI laga_HI thoda_HI aur_HI practice_EN chahiye_HI,negative,lecture time waste jaisa laga thoda aur practice chahiye,"['lecture', 'time', 'waste', 'jaisa', 'laga', 'thoda', 'aur', 'practice', 'chahiye']",0
topic_EN bahut_HI ache_EN se_HI cover_EN kiya_HI gaya_HI,positive,topic bahut ache se cover kiya gaya,"['topic', 'bahut', 'ache', 'cover', 'kiya', 'gaya']",1
class_EN pace_EN bohut_HI fast_EN tha_EN,negative,class pace bohut fast tha,"['class', 'pace', 'bohut', 'fast', 'tha']",4
lecture_EN interesting_EN tha_EN aur_HI samajh_HI bhi_HI aaya_HI slides_EN achi_HI thi_EN,positive,lecture interesting tha aur samajh bhi aaya slides achi thi,"['lecture', 'interesting', 'tha', 'aur', 'samajh', 'bhi', 'aaya', 'slides', 'achi', 'thi']",4
lecture_EN confusing_EN tha_EN aur_HI thoda_HI detail_EN me_HI hona_HI chahiye_HI tha_EN,negative,lecture confusing tha aur thoda detail me hona chahiye tha,"['lecture', 'confusing', 'tha', 'aur', 'thoda', 'hona', 'chahiye', 'tha']",1
lecture_EN normal_EN tha_EN special_EN nahi_HI,neutral,lecture normal tha special nahi,"['lecture', 'normal', 'tha', 'special', 'nahi']",0
lecture_EN confusing_EN tha_EN,negative,lecture confusing tha,"['lecture', 'confusing', 'tha']",2
sir_EN teaching_EN style_EN gud_HI hai_EN,positive,sir teaching style gud hai,"['sir', 'teaching', 'style', 'gud', 'hai']",0
teacher_EN ne_HI topic_EN properly_EN explain_EN nahi_HI kiya_HI,negative,teacher ne topic properly explain nahi kiya,"['teacher', 'topic', 'properly', 'explain', 'nahi', 'kiya']",1
lecture_EN theek_HI tha_EN aur_HI examples_EN ho_HI sakte_HI according_EN me_HI,neutral,lecture theek tha aur examples ho sakte according me,"['lecture', 'theek', 'tha', 'aur', 'examples', 'sakte', 'according']",2
concept_EN samajh_HI aaya_HI par_EN pace_EN fast_EN tha_EN,neutral,concept samajh aaya par pace fast tha,"['concept', 'samajh', 'aaya', 'par', 'pace', 'fast', 'tha']",4
content_EN theek_HI tha_EN par_EN delivery_EN slow_EN thi_EN,neutral,content theek tha par delivery slow thi,"['content', 'theek', 'tha', 'par', 'delivery', 'slow', 'thi']",3
lecture_EN interesting_EN tha_EN aur_HI samajh_HI bhi_HI aaya_HI aur_HI thoda_HI detail_EN me_HI hona_HI chahiye_HI tha_EN,positive,lecture interesting tha aur samajh bhi aaya aur thoda detail me hona chahiye tha,"['lecture', 'interesting', 'tha', 'aur', 'samajh', 'bhi', 'aaya', 'aur', 'thoda', 'hona', 'chahiye', 'tha']",1
class_EN achi_HI thi_EN par_EN thodi_HI boring_EN bhi_HI aur_HI thoda_HI detail_EN me_HI hona_HI chahiye_HI tha_EN,neutral,class achi thi par thodi boring bhi aur thoda detail me hona chahiye tha,"['class', 'achi', 'thi', 'par', 'thodi', 'boring', 'bhi', 'aur', 'thoda', 'hona', 'chahiye', 'tha']",3
topic_EN theek_HI tha_EN aur_HI clarity_EN chahiye_HI thi_EN honestly_EN,neutral,topic theek tha aur clarity chahiye thi honestly,"['topic', 'theek', 'tha', 'aur', 'clarity', 'chahiye', 'thi', 'honestly']",1
topic_EN bahut_HI poorly_EN explain_EN hua_EN honestly_EN,negative,topic bahut poorly explain hua honestly,"['topic', 'bahut', 'poorly', 'explain', 'hua', 'honestly']",4
teacher_EN ne_HI topic_EN properly_EN explain_EN nahi_HI kiya_HI honestly_EN,negative,teacher ne topic properly explain nahi kiya honestly,"['teacher', 'topic', 'properly', 'explain', 'nahi', 'kiya', 'honestly']",1
examples_EN clear_EN nahi_HI overall_EN,negative,examples clear nahi overall,"['examples', 'clear', 'nahi', 'overall']",2
session_EN okay_EN tha_EN according_EN me_HI,neutral,session okay tha according me,"['session', 'okay', 'tha', 'according']",3
discussion_EN session_EN kaafi_HI useful_EN tha_EN aur_HI thoda_HI detail_EN me_HI hona_HI chahiye_HI tha_EN,positive,discussion session kaafi useful tha aur thoda detail me hona chahiye tha,"['discussion', 'session', 'kaafi', 'useful', 'tha', 'aur', 'thoda', 'hona', 'chahiye', 'tha']",3
class_EN boring_EN thi_EN,negative,class boring thi,"['class', 'boring', 'thi']",3
class_EN environment_EN achaah_HI tha_EN,positive,class environment achaah tha,"['class', 'environment', 'achaah', 'tha']",4
concept_EN samajh_HI aaya_HI par_EN pace_EN fast_EN tha_EN aur_HI thoda_HI detail_EN me_HI hona_HI chahiye_HI tha_EN,neutral,concept samajh aaya par pace fast tha aur thoda detail me hona chahiye tha,"['concept', 'samajh', 'aaya', 'par', 'pace', 'fast', 'tha', 'aur', 'thoda', 'hona', 'chahiye', 'tha']",4
kal_EN class_EN acha_POS thi_EN,positive,kal class acha thi,"['kal', 'class', 'acha', 'thi']",3
lecture_EN interesting_EN tha_EN aur_HI samajh_HI bhi_HI aaya_HI thoda_HI slow_EN hona_HI chahiye_HI tha_EN,positive,lecture interesting tha aur samajh bhi aaya thoda slow hona chahiye tha,"['lecture', 'interesting', 'tha', 'aur', 'samajh', 'bhi', 'aaya', 'thoda', 'slow', 'hona', 'chahiye', 'tha']",1
class_EN theek_HI thi_EN bas_EN thoda_HI lamba_HI tha_EN slides_EN achi_HI thi_EN,neutral,class theek thi bas thoda lamba tha slides achi thi,"['class', 'theek', 'thi', 'bas', 'thoda', 'lamba', 'tha', 'slides', 'achi', 'thi']",3
lecture_EN time_EN waste_EN jaisa_HI laga_HI examples_EN ache_EN,negative,lecture time waste jaisa laga examples ache,"['lecture', 'time', 'waste', 'jaisa', 'laga', 'examples', 'ache']",0
class_EN boring_EN thi_EN,negative,class boring thi,"['class', 'boring', 'thi']",3
class_EN acha_POS thi_EN par_EN thodi_HI boring_EN bhi_HI,neutral,class acha thi par thodi boring bhi,"['class', 'acha', 'thi', 'par', 'thodi', 'boring', 'bhi']",4
class_EN pace_EN bahut_HI fast_EN tha_EN thoda_HI slow_EN hona_HI chahiye_HI tha_EN,negative,class pace bahut fast tha thoda slow hona chahiye tha,"['class', 'pace', 'bahut', 'fast', 'tha', 'thoda', 'slow', 'hona', 'chahiye', 'tha']",1
teacher_EN ne_HI topic_EN properly_EN explain_EN nahi_HI kiya_HI,negative,teacher ne topic properly explain nahi kiya,"['teacher', 'topic', 'properly', 'explain', 'nahi', 'kiya']",1
class_EN environment_EN bahut_HI achha_POS tha_EN,positive,class environment bahut achha tha,"['class', 'environment', 'bahut', 'achha', 'tha']",4
class_EN boring_EN thi_EN,negative,class boring thi,"['class', 'boring', 'thi']",3
sir_EN teaching_EN style_EN good_EN hai_EN,positive,sir teaching style good hai,"['sir', 'teaching', 'style', 'good', 'hai']",0
kal_EN class_EN accha_POS thi_EN,positive,kal class accha thi,"['kal', 'class', 'accha', 'thi']",3
aaj_HI lecture_EN bhot_HI informative_EN tha_EN,positive,aaj lecture bhot informative tha,"['aaj', 'lecture', 'bhot', 'informative', 'tha']",2
lecture_EN interesting_EN tha_EN aur_HI samajh_HI bhi_HI aaya_HI,positive,lecture interesting tha aur samajh bhi aaya,"['lecture', 'interesting', 'tha', 'aur', 'samajh', 'bhi', 'aaya']",4
aaj_HI lecture_EN bohut_HI informative_EN tha_EN,positive,aaj lecture bohut informative tha,"['aaj', 'lecture', 'bohut', 'informative', 'tha']",2
class_EN pace_EN bahuut_HI fast_EN tha_EN,negative,class pace bahuut fast tha,"['class', 'pace', 'bahuut', 'fast', 'tha']",4
session_EN okay_EN tha_EN honestly_EN,neutral,session okay tha honestly,"['session', 'okay', 'tha', 'honestly']",3
topic_EN bahut_HI ache_EN se_HI cover_EN kiya_HI gaya_HI honestly_EN,positive,topic bahut ache se cover kiya gaya honestly,"['topic', 'bahut', 'ache', 'cover', 'kiya', 'gaya', 'honestly']",1
lecture_EN theek_HI tha_EN aur_HI examples_EN ho_HI sakte_HI,neutral,lecture theek tha aur examples ho sakte,"['lecture', 'theek', 'tha', 'aur', 'examples', 'sakte']",2
discussion_EN session_EN kaafi_HI useful_EN tha_EN,positive,discussion session kaafi useful tha,"['discussion', 'session', 'kaafi', 'useful', 'tha']",3
kal_EN class_EN bhot_HI achi_HI thi_EN overall_EN,positive,kal class bhot achi thi overall,"['kal', 'class', 'bhot', 'achi', 'thi', 'overall']",3
class_EN bhot_HI boring_EN thi_EN thoda_HI slow_EN hona_HI chahiye_HI tha_EN,negative,class bhot boring thi thoda slow hona chahiye tha,"['class', 'bhot', 'boring', 'thi', 'thoda', 'slow', 'hona', 'chahiye', 'tha']",3
concept_EN samajh_HI aaya_HI par_EN pace_EN fast_EN tha_EN,neutral,concept samajh aaya par pace fast tha,"['concept', 'samajh', 'aaya', 'par', 'pace', 'fast', 'tha']",4
topic_EN bahut_HI poorly_EN explain_EN hua_EN overall_EN,negative,topic bahut poorly explain hua overall,"['topic', 'bahut', 'poorly', 'explain', 'hua', 'overall']",4
aaj_HI lecture_EN bhot_HI informative_EN tha_EN,positive,aaj lecture bhot informative tha,"['aaj', 'lecture', 'bhot', 'informative', 'tha']",2
teacher_EN explanation_EN weak_EN tha_EN honestly_EN,negative,teacher explanation weak tha honestly,"['teacher', 'explanation', 'weak', 'tha', 'honestly']",0
lecture_EN theek_HI tha_EN aur_HI examples_EN ho_HI sakte_HI,neutral,lecture theek tha aur examples ho sakte,"['lecture', 'theek', 'tha', 'aur', 'examples', 'sakte']",2
aaj_HI lecture_EN bahut_HI informative_EN tha_EN aur_HI thoda_HI detail_EN me_HI hona_HI chahiye_HI tha_EN,positive,aaj lecture bahut informative tha aur thoda detail me hona chahiye tha,"['aaj', 'lecture', 'bahut', 'informative', 'tha', 'aur', 'thoda', 'hona', 'chahiye', 'tha']",1
lecture_EN normal_EN tha_EN special_EN nahi_HI,neutral,lecture normal tha special nahi,"['lecture', 'normal', 'tha', 'special', 'nahi']",0
class_EN pace_EN bahut_HI fast_EN tha_EN examples_EN ache_EN,negative,class pace bahut fast tha examples ache,"['class', 'pace', 'bahut', 'fast', 'tha', 'examples', 'ache']",4
lecture_EN normal_EN tha_EN special_EN nahi_HI,neutral,lecture normal tha special nahi,"['lecture', 'normal', 'tha', 'special', 'nahi']",0
discussion_EN session_EN kaafi_HI useful_EN tha_EN,positive,discussion session kaafi useful tha,"['discussion', 'session', 'kaafi', 'useful', 'tha']",3
class_EN pace_EN bahut_HI fast_EN tha_EN,negative,class pace bahut fast tha,"['class', 'pace', 'bahut', 'fast', 'tha']",4
teacher_EN ne_HI topic_EN properly_EN explain_EN nahi_HI kiya_HI,negative,teacher ne topic properly explain nahi kiya,"['teacher', 'topic', 'properly', 'explain', 'nahi', 'kiya']",1
class_EN environment_EN acha_POS tha_EN,positive,class environment acha tha,"['class', 'environment', 'acha', 'tha']",4
sir_EN teaching_EN style_EN gud_HI hai_EN,positive,sir teaching style gud hai,"['sir', 'teaching', 'style', 'gud', 'hai']",0
class_EN pace_EN bahut_HI fast_EN tha_EN,negative,class pace bahut fast tha,"['class', 'pace', 'bahut', 'fast', 'tha']",4
class_EN environment_EN accha_POS tha_EN,positive,class environment accha tha,"['class', 'environment', 'accha', 'tha']",4
sir_EN teaching_EN style_EN good_EN hai_EN,positive,sir teaching style good hai,"['sir', 'teaching', 'style', 'good', 'hai']",0
class_EN theek_HI thi_EN bas_EN thoda_HI lamba_HI tha_EN,neutral,class theek thi bas thoda lamba tha,"['class', 'theek', 'thi', 'bas', 'thoda', 'lamba', 'tha']",3
sir_EN teaching_EN style_EN good_EN hai_EN,positive,sir teaching style good hai,"['sir', 'teaching', 'style', 'good', 'hai']",0
class_EN average_EN thi_EN according_EN me_HI,neutral,class average thi according me,"['class', 'average', 'thi', 'according']",3
class_EN average_EN thi_EN,neutral,class average thi,"['class', 'average', 'thi']",3
topic_EN bahut_HI poorly_EN explain_EN hua_EN honestly_EN,negative,topic bahut poorly explain hua honestly,"['topic', 'bahut', 'poorly', 'explain', 'hua', 'honestly']",4
lecture_EN time_EN waste_EN jaisa_HI laga_HI slides_EN achi_HI thi_EN,negative,lecture time waste jaisa laga slides achi thi,"['lecture', 'time', 'waste', 'jaisa', 'laga', 'slides', 'achi', 'thi']",0
lecture_EN theek_HI tha_EN aur_HI examples_EN ho_HI sakte_HI aur_HI thoda_HI detail_EN me_HI hona_HI chahiye_HI tha_EN,neutral,lecture theek tha aur examples ho sakte aur thoda detail me hona chahiye tha,"['lecture', 'theek', 'tha', 'aur', 'examples', 'sakte', 'aur', 'thoda', 'hona', 'chahiye', 'tha']",2
class_EN environment_EN accha_POS tha_EN,positive,class environment accha tha,"['class', 'environment', 'accha', 'tha']",4
lecture_EN normal_EN tha_EN special_EN nahi_HI,neutral,lecture normal tha special nahi,"['lecture', 'normal', 'tha', 'special', 'nahi']",0
aaj_HI lecture_EN bahut_HI informative_EN tha_EN aur_HI thoda_HI detail_EN me_HI hona_HI chahiye_HI tha_EN,positive,aaj lecture bahut informative tha aur thoda detail me hona chahiye tha,"['aaj', 'lecture', 'bahut', 'informative', 'tha', 'aur', 'thoda', 'hona', 'chahiye', 'tha']",1
lecture_EN theek_HI tha_EN aur_HI examples_EN ho_HI sakte_HI overall_EN,neutral,lecture theek tha aur examples ho sakte overall,"['lecture', 'theek', 'tha', 'aur', 'examples', 'sakte', 'overall']",2
concept_EN samajh_HI aaya_HI par_EN pace_EN fast_EN tha_EN,neutral,concept samajh aaya par pace fast tha,"['concept', 'samajh', 'aaya', 'par', 'pace', 'fast', 'tha']",4
lecture_EN normal_EN tha_EN special_EN nahi_HI,neutral,lecture normal tha special nahi,"['lecture', 'normal', 'tha', 'special', 'nahi']",0
lecture_EN interesting_EN tha_EN aur_HI samajh_HI bhi_HI aaya_HI,positive,lecture interesting tha aur samajh bhi aaya,"['lecture', 'interesting', 'tha', 'aur', 'samajh', 'bhi', 'aaya']",4
content_EN theek_HI tha_EN par_EN delivery_EN slow_EN thi_EN examples_EN ache_EN,neutral,content theek tha par delivery slow thi examples ache,"['content', 'theek', 'tha', 'par', 'delivery', 'slow', 'thi', 'examples', 'ache']",3
class_EN environment_EN achha_POS tha_EN,positive,class environment achha tha,"['class', 'environment', 'achha', 'tha']",4
kal_EN class_EN bhot_HI achi_HI thi_EN slides_EN achi_HI thi_EN,positive,kal class bhot achi thi slides achi thi,"['kal', 'class', 'bhot', 'achi', 'thi', 'slides', 'achi', 'thi']",3
