processed_text,label
apn_HI desh_HI logo_EN thug_EN chala_HI sanjeev_HI kapoor_EN world_EN cup_EN dekn_HI nan_EN,negative
ab_HI btaega_HI pucho_HI jiyn_HI b_HI mla_EN usm_HI gina_EN hindu_EN mla_EN muslim_EN awaadi_HI gaao_HI,neutral
haa_HI lie_EN thnk_HI buy_EN pair_EN put_EN shit_EN charger_EN minut_HI nan_EN,neutral
glass_EN admi_HI appki_HI pic_EN nan_EN,neutral
mumta_HI bano_HI mhatma_HI ghandhi_HI smadhi_HI nhi_HI jyegi_HI vhan_HI ghandhi_HI ji_HI akhi_HI nan_EN,neutral
india_EN modi_EN ji_HI aan_HI muslim_EN,neutral
boy_EN age_EN hy_HI tmhri_HI girl_EN boy_EN mine_EN love_EN girl_EN boy_EN abh_HI tmhri_HI umr_HI,neutral
ali_EN jhootay_HI maseeha_HI maseeha_HI man_EN leni_HI sy_HI qafir_HI nahi_HI,negative
mc_HI sala_HI sale_EN ghamand_HI din_EN ruk_HI sale_EN ghamand_HI dur_HI jayeg_HI,neutral
pathan_HI ikk_HI srkar_HI job_EN ni_HI upper_EN apn_HI india_EN kaam_HI nahi_HI chahat_HI,neutral
chara_HI ghotal_HI laloo_HI kitney_HI gavahon_HI maut_HI ghat_HI utar_HI nan_EN,negative
morn_EN papa_EN ji_HI plz_EN bles_HI swa_HI sumiran_HI parmarth_HI bal_EN bakhshna_HI ji_HI dhan_HI dhan_HI,positive
qau_HI pakistan_EN girl_EN photo_EN pakistan_EN karz_HI ada_EN pakistan_EN girl_EN heera_HI mandi_HI karz_HI,neutral
boi_EN kdo_HI unpract_HI cool_EN sword_EN nan_EN,neutral
journal_EN bare_EN bt_HI jbhi_HI isko_HI cripption_HI certif_HI dia_EN h_HI nan_EN,positive
prashant_HI dhwan_HI kohinoor_HI stud_EN iq_HI bst_EN teacher_EN current_EN aff_HI,positive
check_EN mp_HI cngrss_HI srkar_HI law_EN order_EN state_EN subject_EN nan_EN,neutral
roza_HI kharaab_HI karay_HI na_HI notic_HI hay_EN allah_EN famili_HI,neutral
desh_HI gaddaro_HI liy_HI saal_HI bahut_HI pan_EN kyoki_HI mota_HI home_EN minist_HI india_EN,neutral
ekto_HI muskur_HI sharmat_HI dil_EN aaplogon_HI eid_EN pr_HI bolaun_HI,positive
nice_EN joke_EN tmhare_HI ghadaron_HI danda_HI janay_HI landay_HI istim_HI maal_HI pakra_HI ussay_HI,neutral
antar_HI atm_EN bech_HI beijjat_HI krk_HI bhagaya_HI nahi_HI nahi_HI hilega_HI,positive
khan_EN sahab_HI apko_HI vote_EN taki_HI pm_HI alhumdulillah_HI bi_HI pm_HI khan_EN sahab_HI ab_HI gabraht_HI,neutral
c_HI rs_HI deduct_EN kekin_HI branch_EN offic_HI kahta_HI nahi_HI jnta_HI,neutral
amrann_HI nice_EN smh_EN salaam_EN love_EN nan_EN,neutral
aapko_HI bahut_HI bahut_HI badhai_HI amitshah_HI ji_HI ash_EN kart_EN modi_EN ji_HI hama_HI,neutral
bring_EN great_EN joy_EN hear_EN rendit_HI des_EN ree_HI ta_HI sayin_EN xoxo_HI nan_EN,neutral
khyal_HI apki_HI nazron_HI document_EN nehein_HI guzra_HI apk_HI papa_EN bahir_HI janey_HI keley_HI mushar_HI,neutral
jane_EN virgin_EN narrat_HI knoow_HI straight_EN telenovela_HI nan_EN,neutral
plz_EN bhgwan_HI kre_HI bhart_HI acch_HI movi_HI qki_HI dedepyard_HI,neutral
wish_EN happi_HI birthday_EN hit_EN togeth_HI thankyou_EN give_EN music_EN nan_EN,positive
apki_HI aik_HI gawahi_HI mannat_HI pagl_HI saabit_HI kerdia_HI watch_EN cheekh_HI tonight_EN pm_HI arydigit_HI,neutral
listen_EN jojo_EN swa_HI sng_HI fan_EN nan_EN,neutral
msla_HI bnd_HI wajh_HI fasad_HI jar_EN team_EN nhe_HI chaln_HI ati_HI player_EN men_EN hasd_HI nan_EN,neutral
sk_HI chetan_HI adarsh_HI chutiy_HI crimin_HI ghatiya_NEG public_EN stunt_EN nhi_HI kr_HI h_HI n_HI unnec_HI,negative
kung_EN hnd_HI pa_HI checheck_HI bat_EN dm_HI mukh_HI ni_HI jungkook_HI hnd_HI maalala_HI na_HI ikaw_HI hahaha_EN nan_EN,neutral
bab_HI amaz_HI job_EN today_EN hope_EN feel_EN wish_EN hotel_EN room_EN wate_HI yo_HI,positive
dil_EN khush_HI krni_HI ghalib_HI khyal_HI acha_POS ha_HI myth_EN,neutral
allah_EN chahe_HI izaat_HI r_HI chahey_HI zilat_HI dt_HI dua_HI ha_HI allah_EN nwaz_HI shareef_HI khandan_HI r_HI u_HI,neutral
ngk_HI kudo_HI hero_EN offl_HI nan_EN,positive
sayad_HI tabhi_HI srf_HI appki_HI chanel_EN dkh_HI warn_EN bikav_HI media_EN,neutral
ez_HI na_HI pakistan_EN pig_EN dukkar_HI kutta_HI suvar_HI mix_EN aulad_HI nan_EN,negative
ais_EN barish_HI dosti_HI ai_HI nahi_HI maaraz_HI gar_HI mitti_HI h_HI ku_HI khyal_HI intzar_HI nahi_HI,neutral
fuck_EN apn_HI neech_HI bnd_HI krk_HI rkhna_HI kholn_HI jaroorat_HI hani_HI,negative
ham_EN ak_HI ayen_HI ha_HI dikhya_HI gya_HI dagh_HI chahru_HI ku_HI bura_HI laga_HI samna_HI hat_EN jay_EN love_EN pak_EN arm_EN,neutral
happi_HI birthday_EN pray_EN bab_HI vishwanath_HI halath_HI bright_EN futur_HI,neutral
morn_EN pita_HI ji_HI thnk_HI day_EN pls_EN bles_HI swa_HI sumrin_HI parmarth_HI bakso_HI ji_HI,neutral
offici_HI suprb_HI voic_HI arjun_EN ji_HI u_HI reali_HI salut_HI yuh_HI,positive
absolut_HI histor_HI independ_HI india_EN inclus_HI secular_EN talk_EN nev_EN,neutral
thicc_HI xd_HI confirm_EN dare_EN wit_EN hahaha_EN nan_EN,positive
congret_HI lucknow_EN shaan_HI bada_HI aapn_HI veerta_HI shaurya_HI missal_HI ab_HI pesh_HI kariyega_HI jai_EN hnd_HI nan_EN,neutral
ha_HI ha_HI ha_HI cow_EN mutr_HI peek_EN war_EN guy_EN st_HI,neutral
modi_EN jitn_HI asar_HI vipaksh_HI nahi_HI padosiyo_HI bokhla_HI gay_EN sare_HI sare_HI modi_EN akela_HI,positive
bholi_HI bhayaa_HI uff_HI dil_EN jeet_HI lya_HI love_EN imran_EN mind_EN blow_EN act_EN alla_HI,positive
pori_HI dunya_HI abh_HI growup_HI ab_HI bhaija_HI sth_HI aa_HI jana_EN nan_EN,neutral
aat_HI half_EN centr_HI kr_HI thnk_HI itn_HI liy_HI,positive
jansankhya_HI atikraman_HI desh_HI sabs_HI bada_HI samsyay_HI beat_EN plastic_EN pollut_HI jai_EN hnd_HI nan_EN,neutral
obc_HI bhikhari_HI nahi_HI bhnchd_HI bheemt_HI obc_HI nam_EN account_EN bnakr_HI apn_HI maa_HI chuda_HI rah_EN,negative
fizakhan_HI pakistan_EN girl_EN photo_EN pakistan_EN karz_HI ada_EN pakistan_EN girl_EN heera_HI mandi_HI,neutral
pti_HI jnab_HI thnk_HI veri_HI short_EN break_EN place_EN allah_EN protect_EN famili_HI,positive
org_EN chalo_HI g_HI inh_HI c_HI,neutral
congratul_HI akash_HI phir_HI saal_HI contract_EN keepitup_HI note_EN sorri_HI,positive
husain_HI haqqani_HI time_EN nikl_HI mar_EN nahi_HI jatay_HI dharti_HI py_HI bojh_HI gaddar_HI beshrm_HI nan_EN,negative
noth_HI fresh_EN hit_EN pepsi_EN day_EN today_EN,positive
na_HI pehl_HI apn_HI photo_EN dp_HI rak_HI phir_HI bark_EN kutt_HI chl_HI bhg_HI bandhar_HI kahika_HI nan_EN,negative
ur_HI bles_HI wed_EN aniverseri_HI wife_EN sonia_EN pronam_HI ashirwad_HI b_HI,positive
cnbc_EN aka_EN cnbc_EN pahel_HI,neutral
nxt_EN yar_HI india_EN chang_EN kyoki_HI modi_EN srkar_HI bda_HI bdlav_HI ni_HI hmare_HI modi_EN kehna_HI nan_EN,positive
uff_HI act_EN bholey_HI ji_HI apki_HI kamaal_HI krdya_HI actr_HI nai_HI abtk_HI charactr_HI saat_HI,positive
rand_EN cngrss_HI v_HI randwa_HI rjd_HI buri_HI haara_HI vote_EN denewal_HI sadhuwad_HI nan_EN,neutral
dvn_HI kalank_HI theatr_HI zafr_HI charact_HI love_EN play_EN epic_EN love_EN stori_HI spoiler_EN pleas_EN,positive
bahut_HI bahut_HI badhai_HI jais_HI logo_EN karan_EN modi_EN ji_HI majboor_HI mili_HI,positive
sast_HI ghatya_HI nashi_HI swar_HI samjht_HI trah_HI bakwa_HI sast_HI public_EN jaegi_HI nan_EN,negative
proud_EN part_EN brilliant_EN commerci_HI reles_HI wc_HI time_EN great_EN product_EN team_EN includ_HI nan_EN,positive
haha_EN overr_HI bolt_EN chuu_HI pehl_HI ata_EN nahi_HI chale_HI aat_HI,negative
pogo_HI launch_EN show_EN kalarikid_HI love_EN enthusiasm_EN littl_HI chhotabheem_HI danc_HI,positive
r_HI pakistan_EN ais_EN rote_HI rhte_HI time_EN englnd_HI allout_HI umme_HI nan_EN,positive
logsabha_HI kanhiya_HI ji_HI vichaar_HI badleng_HI desh_HI badlega_HI vidhyarthi_HI,positive
wow_EN red_EN plain_EN sare_HI pahen_HI na_HI bahut_HI cute_EN lgegi_HI red_EN plain_EN sare_HI sleeveless_HI blous_HI awasom_HI nan_EN,neutral
chaa_HI ihav_HI chep_HI ak_HI cuz_EN ak_HI fav_EN weapon_EN u_HI wan_EN battl_HI win_EN u_HI give_EN,positive
day_EN day_EN slgan_HI proven_EN afghan_EN bhagao_HI mulk_HI bachao_HI nan_EN,negative
elect_EN liy_HI badh_HI btaya_HI accpt_HI bar_EN elect_EN commiss_HI media_EN bewakoof_HI bnya_HI h_HI jnta_HI sth_HI nan_EN,negative
bemaar_HI bhikhari_HI kutta_HI die_EN dub_EN stupid_EN movi_HI hindi_EN wonder_EN peopl_HI tn_HI,neutral
abp_HI news_EN saal_HI mon_EN nahi_HI bhara_HI cngrss_HI kost_HI swal_HI kart_EN ab_HI tweet_EN duwara_HI mazaak_HI uran_HI aar_HI,negative
evm_HI hack_EN bahana_HI nhi_HI chl_HI pay_EN ab_HI nik_EN slip_EN aay_HI gyi_HI bye_EN bye_EN evmscand_HI evm_HI nan_EN,neutral
dhan_HI dhan_HI satgur_HI aasra_HI papa_EN g_HI morn_EN pita_HI g_HI pledgeagainstcorrupt_HI nan_EN,positive
manmohan_HI singh_EN consti_HI parti_HI presid_HI post_EN chuppi_HI hazaar_HI baton_EN behtar_HI badhya_HI udaharan_HI nahi_HI nan_EN,neutral
india_EN sabka_HI sabka_HI vika_HI sabka_HI visva_HI,positive
ind_EN prothom_HI kalkata_HI campaigncal_HI media_EN sangbad_HI biswa_HI bangal_HI eisob_HI chotokhato_HI chanel_EN gulo_HI sudhu_HI jai_EN sree_HI ram_EN cholch_HI nan_EN,neutral
rohatgi_HI maa_HI baap_HI bohat_HI badhya_HI sikhayi_HI certif_HI batna_HI sabko_HI chamch_HI,negative
miss_EN craze_EN galat_HI bold_EN memori_HI,neutral
pm_HI mumtaz_HI bano_HI hindu_EN dhamki_HI bangal_HI nai_HI pure_EN desh_HI hindu_EN khoon_HI garam_HI chuka_HI,positive
love_EN u_HI absolut_HI noth_HI insecur_HI ur_HI uniqu_HI ur_HI u_HI,positive
beti_HI hein_HI apko_HI beshak_HI apn_HI baap_HI yaad_HI ati_HI hoo_EN gi_HI allah_EN apko_HI hosl_HI dy_HI pr_HI apka_HI baap_HI,positive
thnk_HI sport_EN thnk_HI thnk_HI strongwitheliza_HI samanthajayz_HI angelmartin_HI goliya_HI,positive
rathe_HI gaand_HI keed_HI cow_EN meat_EN kliy_HI pehl_HI bnd_HI convict_EN h_HI jb_HI ban_EN h_HI maa_HI khilan_HI nan_EN,negative
proud_EN moment_EN ganjam_HI student_EN odisha_HI aadarsh_HI vidyalaya_HI ganjam_HI score_EN,positive
pakvwi_HI wi_HI wicket_EN jeeta_HI ajj_HI wicket_EN jeet_HI gya_HI world_EN cup_EN chawl_HI na_HI,positive
engr_HI merey_HI lye_HI bahut_HI khoshi_HI maqam_HI agr_HI muji_HI repli_HI love_EN,neutral
love_EN raat_HI lungi_HI repli_HI newgfkitalsshm_HI nan_EN,positive
pr_HI oopr_HI btaya_HI surgeri_HI ni_HI h_HI na_HI nan_EN,neutral
veri_HI nice_EN tamanna_HI tamanna_HI nice_EN nan_EN,positive
apko_HI deputi_HI cm_HI minist_HI chif_HI kb_HI bnya_HI h_HI r_HI wait_EN nan_EN,positive
vbk_HI pichwad_HI jb_HI modi_EN ji_HI jeet_HI jali_HI padi_HI tabs_EN pichwad_HI jagah_HI muh_HI hag_HI nan_EN,positive
shahid_EN bahi_HI wahab_HI riaz_HI bowl_EN expri_HI nahi_HI srf_HI wide_EN ball_EN nan_EN,negative
isko_HI nikl_HI dia_EN world_EN cup_EN sayad_HI call_EN p_HI bolt_EN h_HI india_EN englnd_HI australia_EN ni_HI ayga_HI semifin_HI nan_EN,negative
pledgeagainstcorrupt_HI afternoon_EN guru_EN g_HI bles_HI give_EN power_EN swa_HI nan_EN,positive
nice_EN glowup_HI peopl_HI mayhem_EN congret_HI guy_EN wohoo_HI bye_EN tire_EN yar_HI nan_EN,positive
media_EN bjp_EN liy_HI prachar_HI utn_HI bjp_EN bjp_EN liy_HI nahi_HI surgic_HI strike_EN,positive
siast_HI rawadari_HI samjht_HI roza_HI nahi_HI rahta_HI iftar_HI sam_EN nan_EN,positive
patrag_HI pahel_HI gahr_HI kanon_HI lago_EN kr_HI kiyo_HI faim_HI pr_HI kabo_HI nahi_HI,neutral
india_EN arjun_EN ji_HI jai_EN punrasar_HI bab_HI jai_EN bikn_HI rajsthan_HI,neutral
doc_EN saab_EN bahut_HI badhya_HI video_EN banaya_HI andher_HI nan_EN,neutral
sari_EN shairi_HI tassali_HI dilasay_HI pay_EN munhasir_HI warn_EN shairi_HI karay_HI pas_EN nan_EN,positive
om_HI gandhi_EN ham_EN isliy_HI rastrapita_HI mant_HI ahinsa_HI vadi_HI nahi_HI aja_HI,positive
wrong_EN love_EN soti_HI naa_HI nan_EN,positive
samaj_HI nahi_HI aaraha_HI halt_EN sudhr_HI nahi_HI karyawahi_HI nahi_HI road_EN,positive
usk_HI kejriw_HI reject_EN edc_HI minist_HI kejriw_HI raj_EN,negative
chanda_HI make_EN gentl_HI nice_EN relat_HI someon_HI life_EN sahar_HI zarort_HI parti_HI ha_HI nan_EN,neutral
rahiy_HI sex_EN cool_EN nikah_HI ose_HI phele_HI hath_EN laga_HI haq_HI nai_HI hume_EN nan_EN,positive
bakwa_HI ha_HI apn_HI harkaton_HI baz_HI nhi_HI ayen_HI ge_HI na_HI fault_EN jawaz_HI kr_HI light_EN bnd_HI ra_HI,negative
x_HI cm_HI shila_HI dixet_HI karn_HI feku_HI annaji_HI b_HI dhokha_HI nan_EN,neutral
itn_HI kharab_NEG rsult_HI kuta_HI bauna_HI harami_HI handsom_HI suvar_HI singh_EN gussa_HI,negative
valuetim_HI valuelif_HI pujya_HI guru_EN ji_HI keht_HI h_HI insan_HI samya_HI kader_HI kart_EN h_HI alasya_HI nan_EN,neutral
bsdk_HI dhruv_HI tyagi_HI bare_EN bar_EN muslim_EN aatankwad_HI vivek_HI hatyakand_HI zu_HI,negative
bhart_HI musalmn_HI hmesh_HI secular_EN govt_EN liy_HI vote_EN rahega_HI haar_HI jeet_HI sikk_HI,positive
cngrss_HI parti_HI pehl_HI feku_HI bhkt_HI media_EN agend_HI samaj_HI lya_HI chunav_HI nhi_HI hartefeku_HI bhkt_HI media_EN fe_HI,negative
ghoda_HI ghaan_HI dosti_HI lega_HI khayeg_HI delhi_EN srkar_HI home_EN ministri_HI public_EN na_HI,negative
real_EN tri_EN pay_EN loan_EN introduc_HI whopper_HI loan_EN make_EN purchas_HI bk_HI app_EN cha_EN nan_EN,neutral
ph_HI watch_EN btsatwembley_HI make_EN miss_EN sighh_HI realli_HI hope_EN bts_EN ph_HI miss_EN everyday_EN guy_EN nan_EN,positive
man_EN earlier_EN incid_HI ab_HI ink_EN nam_EN roti_HI pel_HI shame_EN nan_EN,negative
branch_EN student_EN jisas_HI digir_HI india_EN forc_HI sake_EN crupt_HI na_HI shr_HI,positive
pichla_HI saal_HI media_EN ghatna_HI kramank_HI rewind_EN krk_HI dekhiy_HI jabbi_HI vipaksh_HI rule_EN parti_HI neeti_HI,positive
bakwa_HI karma_EN tv_HI galat_HI sandesh_HI dena_HI instead_EN congressi_HI neta_HI,negative
desh_HI aagh_HI relgion_HI nam_EN bakwa_HI baand_HI tumhar_HI bhayoon_HI shikhao_HI nan_EN,positive
khan_EN sad_EN hear_EN veeruji_HI pass_EN away_EN pleasur_HI privileg_HI work_EN veeruji_HI amaz_HI nan_EN,positive
father_EN son_EN papa_EN night_EN stud_EN liy_HI jau_HI ga_HI kitn_HI baje_HI son_EN baje_HI nan_EN,neutral
mohad_HI ham_EN koe_HI dkh_HI nhi_HI hay_EN tumko_HI hay_EN pakistan_EN nan_EN,neutral
late_EN comnt_HI tweet_EN wan_EN na_HI realli_HI miss_EN n_HI,neutral
mp_HI kamalnath_HI govern_EN vote_EN diy_EN employ_EN milega_HI pr_HI month_EN gye_HI ghanta_HI ni_HI na_HI aagey_HI nan_EN,negative
rashid_EN krishn_HI allah_EN peda_HI nahi_HI,negative
show_EN acha_POS chaln_HI chahiy_HI peopl_HI dnt_HI care_EN chanc_HI nhi_HI h_HI kisliy_HI entertain_EN krt_HI,positive
team_EN lath_HI goli_HI srkar_HI nhi_HI chalegi_HI nhi_HI chalegi_HI,negative
chl_HI ab_HI sudhr_HI uncl_HI harwayega_HI jeson_HI waja_HI,positive
pak_EN,neutral
sapna_HI erad_HI untouch_HI poverti_HI sin_EN life_EN nan_EN,positive
abu_EN kute_HI bhonkt_HI jb_HI farishta_HI cousin_EN atitud_HI jese_HI,negative
respact_HI pm_HI modi_EN jii_HI hamar_HI odisha_HI edc_HI systm_HI daityo_HI aparajita_HI sadangi_HI mam_EN dene_HI,neutral
uth_HI gye_HI gulshan_HI karobar_HI chl_HI pare_HI fed_EN dog_EN dish_EN left_EN night_EN laundri_HI nan_EN,negative
ff_HI great_EN weekend_EN popat_HI panju_HI nan_EN,positive
modi_EN chor_HI pta_EN evm_HI set_EN chuki_HI h_HI elect_EN commiss_HI inform_EN kr_HI h_HI hme_HI seat_EN chahiy_HI e_HI,negative
congratul_HI marvel_EN victori_HI evr_HI bother_EN sev_HI,negative
make_EN becom_HI bootlick_HI exact_EN allah_EN apk_HI masoom_HI bachay_HI ameen_HI nan_EN,negative
pahl_HI usk_HI bulao_HI jisn_HI notbandi_HI fil_EN mjh_HI beech_EN chaurah_HI phansi_HI latka_HI dena_HI nan_EN,neutral
nh_HI l_HI n_HI nh_HI em_HI g_HI stay_EN strong_EN lalisa_HI alwa_HI love_EN alwaysstaywithlalisa_HI,positive
hamsab_HI milkor_HI dhundh_HI teesr_HI muslim_EN jake_EN hindu_EN bnke_HI aag_HI lagata_HI hindu_EN jake_EN muslim_EN bnke_HI,positive
chutiy_HI lodo_HI mna_HI kisn_HI orgasm_EN karn_HI na_HI bhosd_HI walo_HI orgasm_EN nhi_HI,negative
miss_EN beauti_HI voic_HI amjadsabrishahe_HI allah_EN darjaat_HI buland_HI,neutral
harekrishna_HI parlement_HI elect_EN hg_HI modi_EN koe_HI gali_HI nahi_HI degaphir_HI v_HI modi_EN jitega_HI beta_EN jara_HI gali_HI dkh_HI nan_EN,positive
apn_HI shahid_EN famili_HI bulaya_HI nahi_HI oth_HI liy_HI comparison_EN,negative
happiest_EN bday_HI thanku_HI bade_HI bhaiya_HI motiv_HI make_EN great_EN content_EN nan_EN,positive
